Categoria,Total_de_visualizacoes
Entertainment,5299092857
"People & Blogs",4124616571
Music,2188980964
Sports,1869773212
"Howto & Style",1206412970
Comedy,1122599439
Gaming,911652101
"Science & Technology",568668847
"Film & Animation",544589762
"Travel & Events",305077247
"News & Politics",241968822
"Autos & Vehicles",172165766
Education,104470706
"Pets & Animals",79672249
"Nonprofits & Activism",1356542
