Categoria,Numero_de_aparicoes
Entertainment,1513
Sports,1280
Gaming,1099
Music,1036
"People & Blogs",860
Comedy,354
"News & Politics",318
"Autos & Vehicles",239
"Film & Animation",225
"Science & Technology",191
"Howto & Style",160
Education,86
"Pets & Animals",56
"Travel & Events",43
"Nonprofits & Activism",6
