Categoria,Total_de_likes
Entertainment,172612358
"People & Blogs",103171202
Music,78059153
Sports,52631006
Comedy,45478948
Gaming,38934474
"Film & Animation",21322525
"Howto & Style",19375072
"Science & Technology",18951157
"Autos & Vehicles",7986213
"Travel & Events",6524387
"News & Politics",4555289
Education,4090802
"Pets & Animals",2497620
"Nonprofits & Activism",84017
