Pais_sede,Numero_de_aparicoes
US,9309
NULL,7362
JP,5159
BR,4481
FR,4151
GB,1528
RU,995
AU,716
KR,693
CA,526
FI,275
ZA,260
HK,254
UA,173
DE,140
IN,121
PT,92
ES,89
BY,86
MY,85
NZ,83
NL,78
BE,75
IT,73
VN,65
KZ,59
CN,43
CH,43
TR,41
MX,41
AT,40
TH,40
IE,39
AE,38
TW,38
PH,36
SG,35
LV,34
NO,31
GE,29
SE,28
AG,23
DO,14
NP,14
PR,12
CY,11
EG,10
CO,10
AR,10
CZ,9
SA,9
BG,9
AZ,9
CI,8
RO,7
ID,7
PY,7
LT,7
CL,6
PL,6
RS,5
IL,4
SN,4
MA,3
MD,3
UZ,3
LU,1
PK,1
